Word,Description,备注
Aliya,阿莉娅,
Kane,凯恩,
Ryoko,凉子,
ryoko,凉子,
Green,格林,
Leon,里昂,
Penny,潘妮,
Laika,莱卡,
laika,莱卡,
Julia,茱莉亚,
COSMOS,科斯莫,
cosmos,科斯莫,
克隆羊Dolly,克隆羊多莉,
Doll,多尔,
ESTANU,依丝塔努,
HRM,心率仪,
EOG,制氧机,
EH,燃料口,
Radio,收音机,
BGM,背景音乐,
CAVOK,天气良好,
一切OK,一切就绪,
Mos,摩斯,
ID,身份识别,
ph,酸碱,
AI,人工智能,
TRPG,跑团,
桌面角色扮演游戏,#NULL,
low逼,让人失望,
这种Flag可不能随便立啊！,这种承诺可不能提前说啊！,
立Flag是什么意思？,为什么不能说？,
就是在还没确定最后结局之前就做的承诺，,#NULL,
从Steam启动,打开,
......,..,
...,..,
..,……,
~,#NULL,
Navi VII,领航柒,
AI助手,人工智能助手,
over,完毕,
SOS,求救,
NFC,近场通信,
ID卡,身份识别卡,
Not For Broadcast,不予播放,
CEO,首席执行官,
Rider Kick！,骑士踢！,
Anna,安娜,
Taylor,泰勒,
R博士,山田博士,
